Date,ACWO_1,ACWO_2,ACWO_3,ACWO_4,ACWO_5,ACWO_6,ADMO_1,ADMO_2,ADMO_3,ADMO_4,ADMO_5,ADMO_6,ADRR_1,ADRR_2,ADRR_3,ADRR_4,ADRR_5,ADRR_6,AREG_1,AREG_2,AREG_3,AREG_4,AREG_5,AREG_6,CSO_1,CSO_2,CSO_3,CSO_4,CSO_5,CSO_6,CWE_1,CWE_2,CWE_3,CWE_4,CWE_5,CWE_6,CWWG_1,CWWG_2,CWWG_3,CWWG_4,CWWG_5,CWWG_6,CWWH_1,CWWH_2,CWWH_3,CWWH_4,CWWH_5,CWWH_6,DPB_1,DPB_2,DPB_3,DPB_4,DPB_5,DPB_6,DPH_1,DPH_2,DPH_3,DPH_4,DPH_5,DPH_6,HTB_1,HTB_2,HTB_3,HTB_4,HTB_5,HTB_6,HTH_1,HTH_2,HTH_3,HTH_4,HTH_5,HTH_6,ITP_1,ITP_2,ITP_3,ITP_4,ITP_5,ITP_6,OGO_1,OGO_2,OGO_3,OGO_4,OGO_5,OGO_6,PPL_1,PPL_2,PPL_3,PPL_4,PPL_5,PPL_6,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PWG_1,PWG_2,PWG_3,PWG_4,PWG_5,PWG_6,PWH_1,PWH_2,PWH_3,PWH_4,PWH_5,PWH_6,RRIR_1,RRIR_2,RRIR_3,RRIR_4,RRIR_5,RRIR_6,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RRR_6,RR_1,RR_2,RR_3,RR_4,RR_5,RR_6,TAGI_1,TAGI_2,TAGI_3,TAGI_4,TAGI_5,TAGI_6,TGA_1,TGA_2,TGA_3,TGA_4,TGA_5,TGA_6,TLRR_1,TLRR_2,TLRR_3,TLRR_4,TLRR_5,TLRR_6
2017-01-01,0,,,,,,1929,,,,,,145,,,,,,0,,,,,,30281,,,,,,No,,,,,,No,,,,,,No,,,,,,26,,,,,,24,,,,,,43,,,,,,40,,,,,,3388,,,,,,2399,,,,,,16250,,,,,,14466,,,,,,No,,,,,,No,,,,,,2483,,,,,,180,,,,,,2303,,,,,,33199,,,,,,29811,,,,,,18733,,,,,
2017-01-02,0,0,,,,,2105,1929,,,,,145,205,,,,,0,0,,,,,30281,30281,,,,,No,No,,,,,No,No,,,,,No,No,,,,,25,31,,,,,24,25,,,,,40,40,,,,,39,37,,,,,3388,3388,,,,,2225,2751,,,,,17750,17800,,,,,13316,12564,,,,,No,No,,,,,No,No,,,,,2483,2483,,,,,180,180,,,,,2303,2303,,,,,33549,32847,,,,,30161,29459,,,,,20233,20283,,,,
2017-01-03,0,0,0,,,,1711,2105,1929,,,,145,205,205,,,,1,1,1,,,,30281,30281,30281,,,,No,No,No,,,,No,No,No,,,,No,No,No,,,,43,45,45,,,,39,40,41,,,,46,48,49,,,,41,43,45,,,,3588,3588,3588,,,,2205,2705,3305,,,,17690,17500,17250,,,,13202,13286,12760,,,,No,No,No,,,,No,No,No,,,,2483,2483,2483,,,,180,180,180,,,,2303,2303,2303,,,,33375,33269,32493,,,,29787,29681,28905,,,,20173,19983,19733,,,
2017-01-04,0,0,0,0,,,2060,1711,2105,1929,,,145,205,205,205,,,1,1,1,1,,,30281,30281,30281,30281,,,No,No,No,No,,,No,No,No,No,,,No,No,No,No,,,40,38,45,45,,,37,37,39,36,,,49,49,49,49,,,45,46,43,45,,,3588,3588,3588,3588,,,1863,2323,2923,3123,,,16980,17060,17250,17150,,,14603,13714,13318,13042,,,No,No,No,No,,,No,No,No,No,,,2483,2483,2483,2483,,,180,180,180,180,,,2303,2303,2303,2303,,,34066,33257,33051,32675,,,30478,29669,29463,29087,,,19463,19543,19733,19633,,
2017-01-05,160,0,0,321,482,,1822,2060,1711,2105,1929,,145,205,205,205,205,,1,1,1,1,1,,30281,30281,30281,30281,30281,,No,No,No,No,No,,No,No,No,No,No,,No,No,No,No,No,,10,20,26,10,13,,8,10,22,9,7,,35,36,37,33,32,,33,33,35,32,31,,3588,3588,3588,3588,3588,,1927,2475,2930,3130,3280,,18060,18090,17980,18250,18250,,13061,12881,12187,11790,11303,,No,No,No,No,No,,No,No,No,No,No,,2483,2483,2483,2483,2483,,180,180,180,180,180,,2303,2303,2303,2303,2303,,33604,33454,32650,32523,32036,,30016,29866,29062,28935,28448,,20543,20573,20463,20733,20733,
2017-01-06,482,482,321,321,482,803,2212,1822,2060,1711,2105,1929,145,205,205,205,205,205,1,1,1,1,1,1,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,19,17,13,16,15,6,12,15,9,14,11,4,32,31,31,32,33,29,30,29,31,31,30,28,3588,3588,3588,3588,3588,3588,1796,2396,2646,3051,3201,3351,17900,17860,17830,17940,18000,18100,13420,12470,12649,11785,11808,11061,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,33803,32813,32962,32208,32291,31644,30215,29225,29374,28620,28703,28056,20383,20343,20313,20423,20483,20583
2017-01-07,1285,803,964,803,642,964,1937,2212,1822,2060,1711,2105,145,205,205,205,205,205,0,0,0,0,0,0,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,18,8,7,6,11,8,11,4,2,5,7,5,26,28,29,30,31,28,23,26,27,28,29,26,3388,3388,3388,3388,3388,3388,3065,2442,2692,2942,3247,3397,17850,17350,17330,17160,17300,17500,10923,12803,12022,12341,11708,11430,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,31256,32636,31835,31984,31491,31413,27868,29248,28447,28596,28103,28025,20333,19833,19813,19643,19783,19983
2017-01-08,1767,1767,1446,1446,1446,1285,1686,1937,2212,1822,2060,1711,145,205,205,205,205,205,0,0,0,0,0,0,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15,7,5,7,5,10,3,0,-2,2,3,8,23,24,26,26,27,28,22,23,24,24,25,25,3388,3388,3388,3388,3388,3388,3073,3617,2672,2922,3172,3377,18450,18400,18100,18010,17910,17960,9582,9339,11180,10630,10718,10275,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,30515,30222,31763,31123,31111,30718,27127,26834,28375,27735,27723,27330,20933,20883,20583,20493,20393,20443
2017-01-09,1767,1446,1124,1606,1928,1606,2131,1686,1937,2212,1822,2060,145,205,205,205,205,205,1,1,1,1,1,1,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,12,14,15,11,-3,0,6,6,1,-3,-5,-1,22,23,26,23,21,25,23,24,25,24,21,25,3388,3388,3388,3388,3388,3588,2426,2630,3807,3284,3514,3764,19610,19400,19400,19400,19290,19100,9514,9396,8792,9108,8276,8976,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,31607,31279,30675,30991,30049,30559,28219,27891,27287,27603,26661,26971,22093,21883,21883,21883,21773,21583
2017-01-10,0,0,0,0,0,0,2039,2131,1686,1937,2212,1822,145,205,205,205,205,205,1,1,1,1,1,1,30281,30281,30281,30281,30281,30281,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,38,35,34,34,17,15,34,32,33,32,15,12,41,41,42,41,37,35,40,38,39,37,36,33,3388,3388,3388,3388,3388,3388,2962,3214,3814,4642,3702,3932,18910,18700,18350,18300,18400,18500,11353,11403,10708,10181,11296,10576,No,No,No,No,No,No,No,No,No,No,No,No,2483,2483,2483,2483,2483,2483,180,180,180,180,180,180,2303,2303,2303,2303,2303,2303,32746,32586,31541,30964,32179,31559,29358,29198,28153,27576,28791,28171,21393,21183,20833,20783,20883,20983
