ACWO_1,ADMO_1,ADRR_1,CSO_1,DPB_1,DPH_1,HTB_1,HTH_1,ITP_1,OGO_1,PPL_1,PS_1,RRIR_1,RRR_1,TAGI_1,TGA_1,TLRR_1,Abnormal
0.0,533.0,462.0,30611.0,68.0,67.0,92.0,94.0,3295.0,1579.0,24500.0,5897.0,2463.0,160.0,32860.0,29565.0,26963.0,0.0
0.0,1489.0,290.0,28072.0,53.0,54.0,62.0,62.0,3625.0,8795.0,14400.0,7528.0,2463.0,160.0,24391.0,20766.0,16863.0,0.0
0.0,764.0,317.0,30239.0,63.0,64.0,72.0,77.0,2790.0,2475.0,16310.0,12545.0,2463.0,160.0,31318.0,28528.0,18773.0,0.0
0.0,942.0,462.0,29884.0,66.0,60.0,77.0,87.0,3625.0,3249.0,20100.0,8639.0,2463.0,160.0,31202.0,27577.0,22563.0,0.0
172.0,2553.0,421.0,29745.0,4.0,4.0,33.0,34.0,3545.0,2395.0,16750.0,14043.0,2483.0,180.0,33276.0,29731.0,19233.0,0.0
0.0,719.0,406.0,31704.0,48.0,49.0,58.0,58.0,3295.0,7229.0,14850.0,11176.0,2463.0,160.0,28489.0,25194.0,17313.0,0.0
0.0,2026.0,319.0,31196.0,21.0,17.0,52.0,55.0,3095.0,3274.0,13700.0,16880.0,2463.0,160.0,33043.0,29948.0,16163.0,0.0
583.0,2687.0,273.0,31002.0,-1.0,-1.0,31.0,30.0,3295.0,1555.0,18200.0,14163.0,2483.0,180.0,34846.0,31551.0,20683.0,0.0
0.0,698.0,292.0,31630.0,50.0,51.0,69.0,71.0,3670.0,5473.0,13640.0,14422.0,2463.0,160.0,30525.0,26855.0,16103.0,0.0
0.0,2133.0,450.0,29539.0,39.0,38.0,51.0,48.0,2795.0,1370.0,15600.0,15014.0,2483.0,180.0,33097.0,30302.0,18083.0,0.0
0.0,1303.0,373.0,27837.0,64.0,66.0,96.0,96.0,2920.0,3327.0,23000.0,3270.0,2463.0,160.0,28733.0,25813.0,25463.0,0.0
0.0,1819.0,312.0,30855.0,37.0,34.0,46.0,39.0,3095.0,2677.0,15000.0,15609.0,2483.0,180.0,33092.0,29997.0,17483.0,0.0
0.0,2602.0,430.0,29745.0,19.0,15.0,38.0,37.0,3495.0,2100.0,16150.0,15109.0,2483.0,180.0,33742.0,30247.0,18633.0,0.0
0.0,2303.0,157.0,30246.0,31.0,30.0,35.0,40.0,3188.0,3022.0,16280.0,13952.0,2483.0,180.0,32715.0,29527.0,18763.0,0.0
