ACWO_1,ACWO_2,ACWO_3,ACWO_4,ACWO_5,ACWO_6,ADMO_1,ADMO_2,ADMO_3,ADMO_4,ADMO_5,ADMO_6,ADRR_1,ADRR_2,ADRR_3,ADRR_4,ADRR_5,ADRR_6,CSO_1,CSO_2,CSO_3,CSO_4,CSO_5,CSO_6,HTB_1,HTB_2,HTB_3,HTB_4,HTB_5,HTB_6,ITP_1,ITP_2,ITP_3,ITP_4,ITP_5,ITP_6,PPL_1,PPL_2,PPL_3,PPL_4,PPL_5,PPL_6,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,RRR_1,RRR_2,RRR_3,RRR_4,RRR_5,RRR_6,TGA_1,TGA_2,TGA_3,TGA_4,TGA_5,TGA_6,Abnormal
0.0,0.0,0.0,0.0,0.0,0.0,533.0,730.0,847.0,645.0,683.0,713.0,462.0,309.0,309.0,455.0,451.0,460.0,30611.0,30611.0,30611.0,30611.0,30611.0,30611.0,92.0,91.0,89.0,89.0,88.0,88.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,24500.0,23820.0,23250.0,22990.0,22750.0,22750.0,5897.0,6274.0,6361.0,6219.0,6731.0,6613.0,160.0,160.0,160.0,160.0,160.0,160.0,29565.0,29262.0,28779.0,28377.0,28649.0,28531.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1489.0,1589.0,1963.0,2033.0,1534.0,1580.0,290.0,286.0,404.0,412.0,414.0,412.0,28072.0,28072.0,28072.0,28072.0,28072.0,28072.0,62.0,61.0,61.0,60.0,61.0,63.0,3625.0,3625.0,3625.0,3625.0,3625.0,3625.0,14400.0,14390.0,14400.0,14390.0,14110.0,14200.0,7528.0,7438.0,7810.0,7664.0,8436.0,7350.0,160.0,160.0,160.0,160.0,160.0,160.0,20766.0,20666.0,21048.0,20892.0,21384.0,20388.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,764.0,627.0,604.0,1356.0,1037.0,1094.0,317.0,282.0,324.0,319.0,254.0,250.0,30239.0,30239.0,30239.0,30239.0,30239.0,30239.0,72.0,74.0,74.0,75.0,79.0,80.0,2790.0,2895.0,2895.0,3295.0,3295.0,3295.0,16310.0,16500.0,16320.0,17500.0,18800.0,18630.0,12545.0,12086.0,11847.0,11483.0,9680.0,9923.0,160.0,160.0,160.0,160.0,160.0,160.0,28528.0,28154.0,27735.0,28151.0,27648.0,27721.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,942.0,942.0,1141.0,1349.0,783.0,783.0,462.0,462.0,481.0,485.0,297.0,302.0,29884.0,29884.0,29884.0,29884.0,29884.0,29884.0,77.0,75.0,76.0,75.0,77.0,76.0,3625.0,3625.0,3625.0,3625.0,3625.0,3625.0,20100.0,19950.0,19500.0,18850.0,19000.0,19500.0,8639.0,8623.0,9655.0,10585.0,9916.0,9252.0,160.0,160.0,160.0,160.0,160.0,160.0,27577.0,27411.0,27993.0,28273.0,27754.0,27590.0,0.0
172.0,0.0,0.0,0.0,0.0,0.0,2553.0,2214.0,1766.0,2606.0,2381.0,2602.0,421.0,425.0,436.0,325.0,327.0,430.0,29745.0,29745.0,29745.0,29745.0,29745.0,29745.0,33.0,33.0,38.0,37.0,38.0,43.0,3545.0,3545.0,3545.0,3545.0,3545.0,3545.0,16750.0,16750.0,16500.0,16730.0,16420.0,16160.0,14043.0,13379.0,12522.0,13132.0,13285.0,13473.0,180.0,180.0,180.0,180.0,180.0,180.0,29731.0,29067.0,27960.0,28800.0,28643.0,28571.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,719.0,1264.0,833.0,765.0,1151.0,1201.0,406.0,268.0,276.0,407.0,413.0,411.0,31704.0,31704.0,31704.0,31704.0,31704.0,31704.0,58.0,59.0,60.0,60.0,59.0,58.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,14850.0,14750.0,14750.0,14750.0,14660.0,14660.0,11176.0,11367.0,10336.0,9961.0,10349.0,10292.0,160.0,160.0,160.0,160.0,160.0,160.0,25194.0,25285.0,24254.0,23879.0,24177.0,24120.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2026.0,1836.0,1810.0,2189.0,1435.0,1891.0,319.0,438.0,442.0,443.0,400.0,438.0,31196.0,31196.0,31196.0,31196.0,31196.0,31196.0,52.0,53.0,53.0,51.0,47.0,44.0,3095.0,3095.0,3095.0,3095.0,3095.0,3095.0,13700.0,13620.0,13620.0,13750.0,14090.0,14300.0,16880.0,16818.0,16624.0,16374.0,15369.0,15365.0,160.0,160.0,160.0,160.0,160.0,160.0,29948.0,29806.0,29612.0,29492.0,28827.0,29033.0,0.0
583.0,389.0,194.0,194.0,0.0,0.0,2687.0,1838.0,2008.0,1894.0,1935.0,2550.0,273.0,274.0,279.0,281.0,279.0,271.0,31002.0,31002.0,31002.0,31002.0,31002.0,31002.0,31.0,32.0,33.0,32.0,36.0,37.0,3295.0,3295.0,3295.0,3295.0,3295.0,3095.0,18200.0,18250.0,18000.0,18000.0,17600.0,17400.0,14163.0,13268.0,13419.0,13127.0,13621.0,14086.0,180.0,180.0,180.0,180.0,180.0,180.0,31551.0,30706.0,30607.0,30315.0,30409.0,30874.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,698.0,1575.0,898.0,885.0,697.0,833.0,292.0,341.0,366.0,276.0,276.0,303.0,31630.0,31630.0,31630.0,31630.0,31630.0,31630.0,69.0,68.0,65.0,65.0,66.0,66.0,3670.0,3670.0,3295.0,3295.0,3295.0,3195.0,13640.0,13680.0,13580.0,13540.0,13600.0,13620.0,14422.0,14895.0,13407.0,13254.0,12856.0,13292.0,160.0,160.0,160.0,160.0,160.0,160.0,26855.0,27368.0,26155.0,25962.0,25624.0,26180.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2133.0,2612.0,2401.0,3009.0,3009.0,2745.0,450.0,318.0,337.0,438.0,456.0,457.0,29539.0,29539.0,29539.0,29539.0,29539.0,29539.0,51.0,50.0,52.0,42.0,43.0,41.0,2795.0,2795.0,2795.0,2795.0,2795.0,2795.0,15600.0,15750.0,15750.0,16000.0,16000.0,15880.0,15014.0,14860.0,14106.0,14225.0,14183.0,13896.0,180.0,180.0,180.0,180.0,180.0,180.0,30302.0,30298.0,29544.0,29913.0,29871.0,29464.0,0.0
