ACWO_1,ADMO_1,ADRR_1,CSO_1,HTB_1,ITP_1,PPL_1,PS_1,RRR_1,TGA_1,Abnormal
0.0,533.0,462.0,30611.0,92.0,3295.0,24500.0,5897.0,160.0,29565.0,0.0
0.0,1489.0,290.0,28072.0,62.0,3625.0,14400.0,7528.0,160.0,20766.0,0.0
0.0,764.0,317.0,30239.0,72.0,2790.0,16310.0,12545.0,160.0,28528.0,0.0
0.0,942.0,462.0,29884.0,77.0,3625.0,20100.0,8639.0,160.0,27577.0,0.0
172.0,2553.0,421.0,29745.0,33.0,3545.0,16750.0,14043.0,180.0,29731.0,0.0
0.0,719.0,406.0,31704.0,58.0,3295.0,14850.0,11176.0,160.0,25194.0,0.0
0.0,2026.0,319.0,31196.0,52.0,3095.0,13700.0,16880.0,160.0,29948.0,0.0
583.0,2687.0,273.0,31002.0,31.0,3295.0,18200.0,14163.0,180.0,31551.0,0.0
0.0,698.0,292.0,31630.0,69.0,3670.0,13640.0,14422.0,160.0,26855.0,0.0
0.0,2133.0,450.0,29539.0,51.0,2795.0,15600.0,15014.0,180.0,30302.0,0.0
0.0,1303.0,373.0,27837.0,96.0,2920.0,23000.0,3270.0,160.0,25813.0,0.0
0.0,1819.0,312.0,30855.0,46.0,3095.0,15000.0,15609.0,180.0,29997.0,0.0
0.0,2602.0,430.0,29745.0,38.0,3495.0,16150.0,15109.0,180.0,30247.0,0.0
0.0,2303.0,157.0,30246.0,35.0,3188.0,16280.0,13952.0,180.0,29527.0,0.0
0.0,1673.0,448.0,30471.0,58.0,2895.0,13750.0,14306.0,160.0,27624.0,0.0
0.0,1787.0,466.0,29883.0,69.0,3425.0,15660.0,15059.0,160.0,29757.0,0.0
0.0,1412.0,503.0,29997.0,40.0,3120.0,15200.0,12725.0,180.0,27288.0,0.0
0.0,1756.0,397.0,28074.0,56.0,3095.0,13190.0,8288.0,160.0,20846.0,0.0
1548.0,2913.0,324.0,28509.0,22.0,3095.0,17070.0,10713.0,180.0,27171.0,0.0
0.0,2315.0,277.0,30855.0,44.0,3295.0,17090.0,15367.0,180.0,31645.0,0.0
0.0,1755.0,467.0,29754.0,44.0,3695.0,17000.0,12258.0,180.0,28046.0,0.0
0.0,1803.0,339.0,30471.0,56.0,2695.0,13250.0,15202.0,160.0,28220.0,0.0
0.0,1078.0,455.0,29997.0,52.0,3305.0,14600.0,7426.0,160.0,21184.0,0.0
0.0,1435.0,400.0,31196.0,51.0,3120.0,15070.0,15491.0,180.0,29924.0,0.0
0.0,1964.0,295.0,31002.0,36.0,3145.0,17500.0,13272.0,180.0,30110.0,0.0
0.0,1342.0,314.0,30238.0,78.0,3295.0,15580.0,12602.0,160.0,27350.0,0.0
0.0,1729.0,283.0,30422.0,54.0,3450.0,14480.0,8583.0,160.0,22076.0,0.0
0.0,941.0,196.0,29813.0,62.0,2470.0,13060.0,13869.0,160.0,26922.0,0.0
0.0,1693.0,269.0,30901.0,43.0,2895.0,15500.0,15155.0,160.0,30223.0,0.0
0.0,2038.0,157.0,30267.0,44.0,2788.0,15000.0,9347.0,160.0,24022.0,0.0
0.0,888.0,315.0,30239.0,71.0,3425.0,13350.0,11098.0,160.0,23486.0,0.0
0.0,1546.0,185.0,29681.0,41.0,2738.0,14200.0,12504.0,180.0,26449.0,0.0
642.0,2657.0,166.0,30218.0,33.0,3288.0,17110.0,12215.0,180.0,28520.0,0.0
0.0,1485.0,185.0,29681.0,47.0,2738.0,14870.0,12387.0,180.0,27002.0,0.0
0.0,1072.0,378.0,30611.0,75.0,3195.0,17800.0,12192.0,160.0,29260.0,0.0
344.0,2416.0,320.0,29745.0,37.0,3495.0,16600.0,13792.0,180.0,29380.0,0.0
0.0,612.0,451.0,30611.0,83.0,3120.0,20580.0,8633.0,160.0,28556.0,0.0
0.0,1233.0,399.0,30615.0,75.0,3095.0,13600.0,13982.0,160.0,26950.0,0.0
0.0,2083.0,465.0,30471.0,44.0,2695.0,14440.0,14959.0,180.0,29187.0,0.0
0.0,1605.0,404.0,28074.0,67.0,3095.0,12830.0,9948.0,160.0,22146.0,0.0
0.0,1144.0,323.0,28079.0,74.0,3625.0,16850.0,11449.0,160.0,27137.0,0.0
0.0,1784.0,451.0,31221.0,49.0,2895.0,12220.0,15827.0,160.0,27615.0,0.0
0.0,1676.0,456.0,31077.0,46.0,3295.0,15920.0,15000.0,180.0,30108.0,0.0
0.0,2008.0,279.0,31002.0,45.0,3095.0,16000.0,15587.0,180.0,30975.0,0.0
583.0,2026.0,446.0,30995.0,32.0,3295.0,17350.0,7564.0,180.0,24102.0,0.0
0.0,744.0,458.0,30611.0,82.0,3295.0,20480.0,9698.0,160.0,29346.0,0.0
0.0,1420.0,277.0,31193.0,54.0,2705.0,16500.0,8960.0,180.0,25238.0,0.0
0.0,1463.0,624.0,30901.0,52.0,2695.0,13600.0,16187.0,160.0,29555.0,0.0
0.0,1608.0,157.0,30241.0,72.0,2688.0,14550.0,9193.0,160.0,23518.0,0.0
0.0,2728.0,431.0,30325.0,44.0,3295.0,13560.0,18208.0,160.0,30936.0,0.0
0.0,2204.0,396.0,28074.0,51.0,2895.0,14230.0,12312.0,180.0,26130.0,0.0
0.0,1564.0,511.0,27837.0,85.0,3095.0,18920.0,8162.0,160.0,26450.0,0.0
0.0,1471.0,337.0,28079.0,73.0,3295.0,16500.0,9534.0,160.0,25202.0,0.0
0.0,898.0,366.0,31630.0,68.0,2995.0,13530.0,13586.0,160.0,26584.0,0.0
0.0,1077.0,200.0,29923.0,42.0,2895.0,15900.0,12928.0,180.0,28416.0,0.0
