Date,ACWO_1,ADMO_1,ADRR_1,CSO_1,DPB_1,DPH_1,HTB_1,HTH_1,ITP_1,OGO_1,PPL_1,PS_1,RRIR_1,RRR_1,RR_1,TAGI_1,TGA_1,TLRR_1,ACON,MGEN,OP41,OP42,OP43,OP44,OP45,Abnormal
2017-01-01,0.0,1929.0,145.0,30281.0,26.0,24.0,43.0,40.0,3388.0,2399.0,16250.0,14466.0,2483.0,180.0,2303.0,33199.0,29811.0,18733.0,False,False,False,False,False,False,False,False
2017-01-02,0.0,2105.0,145.0,30281.0,25.0,24.0,40.0,39.0,3388.0,2225.0,17750.0,13316.0,2483.0,180.0,2303.0,33549.0,30161.0,20233.0,False,False,False,False,False,False,False,False
2017-01-03,0.0,1711.0,145.0,30281.0,43.0,39.0,46.0,41.0,3588.0,2205.0,17690.0,13202.0,2483.0,180.0,2303.0,33375.0,29787.0,20173.0,False,False,False,False,False,False,False,False
2017-01-04,0.0,2060.0,145.0,30281.0,40.0,37.0,49.0,45.0,3588.0,1863.0,16980.0,14603.0,2483.0,180.0,2303.0,34066.0,30478.0,19463.0,False,False,False,False,False,False,False,False
2017-01-05,160.0,1822.0,145.0,30281.0,10.0,8.0,35.0,33.0,3588.0,1927.0,18060.0,13061.0,2483.0,180.0,2303.0,33604.0,30016.0,20543.0,False,False,False,False,False,False,False,False
2017-01-06,482.0,2212.0,145.0,30281.0,19.0,12.0,32.0,30.0,3588.0,1796.0,17900.0,13420.0,2483.0,180.0,2303.0,33803.0,30215.0,20383.0,False,False,False,False,False,False,False,False
2017-01-07,1285.0,1937.0,145.0,30281.0,18.0,11.0,26.0,23.0,3388.0,3065.0,17850.0,10923.0,2483.0,180.0,2303.0,31256.0,27868.0,20333.0,False,False,False,False,False,False,False,False
2017-01-08,1767.0,1686.0,145.0,30281.0,15.0,3.0,23.0,22.0,3388.0,3073.0,18450.0,9582.0,2483.0,180.0,2303.0,30515.0,27127.0,20933.0,False,False,False,False,False,False,False,False
2017-01-09,1767.0,2131.0,145.0,30281.0,12.0,6.0,22.0,23.0,3388.0,2426.0,19610.0,9514.0,2483.0,180.0,2303.0,31607.0,28219.0,22093.0,False,False,False,False,False,False,False,False
2017-01-10,0.0,2039.0,145.0,30281.0,38.0,34.0,41.0,40.0,3388.0,2962.0,18910.0,11353.0,2483.0,180.0,2303.0,32746.0,29358.0,21393.0,False,False,False,False,False,False,False,False
2017-01-11,0.0,2578.0,145.0,30281.0,38.0,35.0,49.0,48.0,3388.0,2208.0,17160.0,14396.0,2483.0,180.0,2303.0,34039.0,30651.0,19643.0,False,False,False,False,False,False,False,False
2017-01-12,0.0,2114.0,145.0,30280.0,47.0,48.0,53.0,52.0,3388.0,2789.0,16780.0,13730.0,2483.0,180.0,2303.0,32993.0,29605.0,19263.0,False,False,False,False,False,False,False,False
2017-01-13,0.0,2146.0,145.0,30280.0,49.0,47.0,53.0,52.0,3388.0,2504.0,16850.0,13977.0,2483.0,180.0,2303.0,33310.0,29922.0,19333.0,False,False,False,False,False,False,False,False
2017-01-14,321.0,2699.0,145.0,30280.0,5.0,5.0,30.0,32.0,3388.0,2799.0,16530.0,14234.0,2483.0,180.0,2303.0,33247.0,29859.0,19013.0,False,False,False,False,False,False,False,False
2017-01-15,0.0,2044.0,145.0,30280.0,13.0,14.0,36.0,36.0,3388.0,2769.0,16730.0,13730.0,2483.0,180.0,2303.0,32943.0,29555.0,19213.0,False,False,False,False,False,False,False,False
2017-01-16,0.0,1884.0,145.0,30280.0,17.0,16.0,40.0,40.0,3388.0,3592.0,17410.0,12067.0,2483.0,180.0,2303.0,31960.0,28572.0,19893.0,False,False,False,False,False,False,False,False
2017-01-17,0.0,2506.0,145.0,30280.0,29.0,27.0,40.0,39.0,3588.0,2750.0,17550.0,13591.0,2483.0,180.0,2303.0,33624.0,30036.0,20033.0,False,False,False,False,False,False,False,False
2017-01-18,0.0,1920.0,145.0,30280.0,37.0,35.0,40.0,37.0,3588.0,2975.0,17600.0,12730.0,2483.0,180.0,2303.0,32813.0,29225.0,20083.0,False,False,False,False,False,False,False,False
2017-01-19,0.0,1769.0,145.0,30280.0,33.0,31.0,46.0,44.0,3588.0,3012.0,16830.0,13312.0,2483.0,180.0,2303.0,32625.0,29037.0,19313.0,False,False,False,False,False,False,False,False
2017-01-20,0.0,1892.0,145.0,30280.0,31.0,30.0,42.0,42.0,3588.0,2873.0,16550.0,13854.0,2483.0,180.0,2303.0,32887.0,29299.0,19033.0,False,False,False,False,False,False,False,False
2017-01-21,0.0,1734.0,145.0,30280.0,40.0,41.0,49.0,51.0,3388.0,3725.0,15200.0,13994.0,2483.0,180.0,2303.0,31677.0,28289.0,17683.0,False,False,False,False,False,False,False,False
2017-01-22,0.0,1693.0,145.0,30280.0,39.0,40.0,45.0,47.0,3388.0,3110.0,15800.0,13968.0,2483.0,180.0,2303.0,32251.0,28863.0,18283.0,False,False,False,False,False,False,False,False
2017-01-23,0.0,1763.0,145.0,30280.0,36.0,34.0,38.0,39.0,3588.0,2803.0,17800.0,12545.0,2483.0,180.0,2303.0,32828.0,29240.0,20283.0,False,False,False,False,False,False,False,False
2017-01-24,0.0,1997.0,145.0,30280.0,41.0,35.0,44.0,38.0,3588.0,3185.0,17700.0,12497.0,2483.0,180.0,2303.0,32680.0,29092.0,20183.0,False,False,False,False,False,False,False,False
2017-01-25,0.0,2189.0,145.0,30280.0,29.0,28.0,45.0,43.0,3588.0,2535.0,16800.0,14239.0,2483.0,180.0,2303.0,33522.0,29934.0,19283.0,False,False,False,False,False,False,False,False
2017-01-26,0.0,1989.0,145.0,30280.0,40.0,38.0,50.0,47.0,3588.0,3401.0,16400.0,13573.0,2483.0,180.0,2303.0,32456.0,28868.0,18883.0,False,False,False,False,False,False,False,False
2017-01-27,0.0,2028.0,145.0,30280.0,22.0,21.0,42.0,40.0,3588.0,3324.0,16360.0,13729.0,2483.0,180.0,2303.0,32572.0,28984.0,18843.0,False,False,False,False,False,False,False,False
2017-01-28,0.0,2485.0,145.0,30280.0,22.0,19.0,41.0,39.0,3388.0,3677.0,15650.0,14343.0,2483.0,180.0,2303.0,32476.0,29088.0,18133.0,False,False,False,False,False,False,False,False
2017-01-29,0.0,2237.0,145.0,30280.0,22.0,19.0,42.0,40.0,3388.0,2889.0,16000.0,14533.0,2483.0,180.0,2303.0,33016.0,29628.0,18483.0,False,False,False,False,False,False,False,False
2017-01-30,321.0,2071.0,145.0,30280.0,13.0,12.0,34.0,33.0,3588.0,2869.0,17600.0,12666.0,2483.0,180.0,2303.0,32749.0,29161.0,20083.0,False,False,False,False,False,False,False,False
2017-01-31,321.0,2169.0,145.0,30280.0,15.0,17.0,32.0,30.0,3588.0,2885.0,18050.0,12298.0,2483.0,180.0,2303.0,32831.0,29243.0,20533.0,False,False,False,False,False,False,False,False
2017-02-01,0.0,1938.0,157.0,30246.0,25.0,24.0,42.0,41.0,3588.0,2031.0,17200.0,14058.0,2483.0,180.0,2303.0,33741.0,30153.0,19683.0,False,False,False,False,False,False,False,False
2017-02-02,0.0,1915.0,157.0,30246.0,20.0,18.0,38.0,36.0,2888.0,2235.0,17350.0,12981.0,2483.0,180.0,2303.0,32814.0,29926.0,19833.0,False,False,False,False,False,False,False,False
2017-02-03,642.0,2269.0,157.0,30246.0,11.0,8.0,32.0,31.0,3588.0,2037.0,17250.0,13691.0,2483.0,180.0,2303.0,33424.0,29836.0,19733.0,False,False,False,False,False,False,False,False
2017-02-04,482.0,1935.0,157.0,30246.0,7.0,9.0,32.0,32.0,3388.0,3068.0,16500.0,13036.0,2483.0,180.0,2303.0,32019.0,28631.0,18983.0,False,False,False,False,False,False,False,False
2017-02-05,0.0,2334.0,157.0,30246.0,22.0,22.0,41.0,38.0,3388.0,2675.0,16500.0,14310.0,2483.0,180.0,2303.0,33293.0,29905.0,18983.0,False,False,False,False,False,False,False,False
2017-02-06,0.0,2293.0,157.0,30246.0,23.0,15.0,34.0,36.0,3388.0,1939.0,17600.0,13905.0,2483.0,180.0,2303.0,33988.0,30600.0,20083.0,False,False,False,False,False,False,False,False
2017-02-07,0.0,2339.0,157.0,30246.0,37.0,36.0,40.0,38.0,3388.0,2593.0,17460.0,13437.0,2483.0,180.0,2303.0,33380.0,29992.0,19943.0,False,False,False,False,False,False,False,False
2017-02-08,0.0,2293.0,157.0,30246.0,46.0,42.0,54.0,53.0,3388.0,2619.0,16350.0,14475.0,2483.0,180.0,2303.0,33308.0,29920.0,18833.0,False,False,False,False,False,False,False,False
2017-02-09,1446.0,2078.0,157.0,30246.0,27.0,22.0,36.0,31.0,3388.0,2290.0,18890.0,10603.0,2483.0,180.0,2303.0,31976.0,28588.0,21373.0,True,False,False,False,False,False,False,True
2017-02-10,1928.0,2702.0,157.0,30246.0,2.0,8.0,21.0,23.0,3388.0,3053.0,18400.0,10472.0,2483.0,180.0,2303.0,31355.0,27967.0,20883.0,False,False,False,False,False,False,False,False
2017-02-11,0.0,2303.0,157.0,30246.0,31.0,30.0,35.0,40.0,3188.0,3022.0,16280.0,13952.0,2483.0,180.0,2303.0,32715.0,29527.0,18763.0,False,False,False,False,False,False,False,False
2017-02-12,0.0,1868.0,157.0,30246.0,34.0,31.0,37.0,33.0,3188.0,3106.0,16650.0,13063.0,2483.0,180.0,2303.0,32196.0,29008.0,19133.0,False,False,False,False,False,False,False,False
2017-02-13,160.0,2378.0,157.0,30246.0,32.0,30.0,36.0,33.0,3388.0,2191.0,18100.0,13078.0,2483.0,180.0,2303.0,33661.0,30273.0,20583.0,False,False,False,False,False,False,False,False
2017-02-14,160.0,2665.0,157.0,30246.0,15.0,18.0,33.0,33.0,3388.0,2616.0,17800.0,13240.0,2483.0,180.0,2303.0,33523.0,30135.0,20283.0,False,False,False,False,False,False,False,False
2017-02-15,0.0,1757.0,157.0,30246.0,35.0,30.0,39.0,40.0,3388.0,2535.0,17500.0,12873.0,2483.0,180.0,2303.0,32856.0,29468.0,19983.0,False,False,False,False,False,False,False,False
2017-02-16,0.0,2368.0,157.0,30246.0,23.0,19.0,35.0,33.0,3388.0,3510.0,17650.0,12359.0,2483.0,180.0,2303.0,32492.0,29104.0,20133.0,False,False,False,False,False,False,False,False
2017-02-17,0.0,2595.0,157.0,30246.0,17.0,17.0,35.0,35.0,3388.0,2368.0,16730.0,14648.0,2483.0,180.0,2303.0,33861.0,30473.0,19213.0,False,False,False,False,False,False,False,False
2017-02-18,0.0,2534.0,157.0,30246.0,32.0,32.0,44.0,48.0,3188.0,2460.0,15200.0,15825.0,2483.0,180.0,2303.0,33508.0,30320.0,17683.0,False,False,False,False,False,False,False,False
2017-02-19,0.0,2040.0,157.0,30246.0,34.0,34.0,48.0,50.0,3188.0,2700.0,15150.0,15141.0,2483.0,180.0,2303.0,32774.0,29586.0,17633.0,False,False,False,False,False,False,False,False
2017-02-20,0.0,2063.0,157.0,30246.0,30.0,20.0,39.0,41.0,3188.0,2002.0,16450.0,14562.0,2483.0,180.0,2303.0,33495.0,30307.0,18933.0,False,False,False,False,False,False,False,False
2017-02-21,0.0,2332.0,157.0,30246.0,23.0,22.0,39.0,42.0,3388.0,2303.0,16360.0,14820.0,2483.0,180.0,2303.0,33663.0,30275.0,18843.0,False,False,False,False,False,False,False,False
2017-02-22,0.0,2028.0,157.0,30246.0,38.0,39.0,51.0,52.0,3388.0,2906.0,16050.0,14223.0,2483.0,180.0,2303.0,32756.0,29368.0,18533.0,False,False,False,False,False,False,False,False
2017-02-23,0.0,1593.0,157.0,30246.0,44.0,45.0,59.0,61.0,3388.0,2658.0,15510.0,14576.0,2483.0,180.0,2303.0,32569.0,29181.0,17993.0,False,False,False,False,False,False,False,False
2017-02-24,0.0,2263.0,157.0,30246.0,48.0,49.0,59.0,63.0,3388.0,2303.0,14900.0,16211.0,2483.0,180.0,2303.0,33594.0,30206.0,17383.0,False,False,False,False,False,False,False,False
